date,sport,sub_sport,vo2_max,max_met
2024-02-06,,,38.0,10.862777709960938
2024-02-06,,,35.0,9.9041748046875
2024-03-07,,,35.0,9.935150146484375
2024-03-07,,,35.0,9.95391845703125
2024-03-07,,,35.0,9.951034545898438
2024-03-07,,,35.0,9.948974609375
2024-03-07,,,35.0,9.929046630859375
2024-03-07,,,35.0,9.913238525390625
2024-03-07,,,35.0,9.89263916015625
2024-03-07,,,35.0,9.867034912109375
2024-03-07,,,34.0,9.846694946289062
2024-03-07,,,34.0,9.847320556640625
2024-03-07,,,34.0,9.853744506835938
2024-03-07,,,35.0,9.860519409179688
2024-03-07,,,35.0,9.865890502929688
2024-03-07,,,35.0,9.8702392578125
2024-03-07,,,35.0,9.87384033203125
2024-03-07,,,35.0,9.876861572265625
2024-03-07,,,35.0,9.87945556640625
2024-03-07,,,35.0,9.881698608398438
2024-03-07,,,35.0,9.883651733398438
2024-03-07,,,35.0,9.885360717773438
2024-03-07,,,35.0,9.886871337890625
2024-03-07,,,35.0,9.888229370117188
2024-03-07,,,35.0,9.889434814453125
2024-03-07,,,35.0,9.890533447265625
2024-03-08,,,35.0,9.891525268554688
2024-03-08,,,35.0,9.892425537109375
2024-03-08,,,35.0,9.89324951171875
2024-03-08,,,35.0,9.893997192382812
2024-03-08,,,35.0,9.894699096679688
2024-03-08,,,35.0,9.895339965820312
2024-03-08,,,35.0,9.89593505859375
2024-03-10,,,35.0,9.94378662109375
2024-03-10,,,35.0,10.002517700195312
2024-03-10,,,35.0,10.031829833984375
2024-03-10,,,35.0,10.060653686523438
2024-03-10,,,35.0,10.089019775390625
2024-03-10,,,35.0,10.116928100585938
2024-03-10,,,36.0,10.151275634765625
2024-03-10,,,36.0,10.190292358398438
2024-03-10,,,36.0,10.2337646484375
2024-03-10,,,36.0,10.290664672851562
2024-03-10,,,36.0,10.345947265625
2024-03-10,,,36.0,10.399642944335938
2024-03-10,,,37.0,10.456634521484375
2024-03-10,,,37.0,10.520217895507812
2024-03-10,,,37.0,10.587570190429688
2024-03-10,,,37.0,10.653549194335938
2024-03-10,,,38.0,10.714813232421875
2024-03-10,,,38.0,10.765335083007812
2024-03-10,,,38.0,10.811309814453125
2024-03-10,,,38.0,10.853164672851562
2024-03-10,,,38.0,10.891647338867188
2024-03-10,,,38.0,10.927139282226562
2024-03-10,,,38.0,10.9617919921875
2024-03-10,,,38.0,10.993637084960938
2024-03-10,,,39.0,11.022964477539062
2024-03-10,,,39.0,11.050186157226562
2024-03-10,,,39.0,11.075897216796875
2024-03-10,,,39.0,11.099777221679688
2024-03-10,,,39.0,11.124069213867188
2024-03-10,,,39.0,11.146881103515625
2024-03-10,,,39.0,11.169815063476562
2024-03-10,,,39.0,11.191131591796875
2024-03-10,,,39.0,11.2293701171875
2024-03-11,,,39.0,11.274261474609375
2024-03-12,,,39.0,11.26287841796875
2024-03-12,,,39.0,11.251617431640625
2024-03-12,,,39.0,11.24053955078125
2024-03-12,,,39.0,11.2296142578125
2024-03-12,,,39.0,11.218795776367188
2024-03-12,,,39.0,11.2080078125
2024-03-12,,,39.0,11.197372436523438
2024-03-12,,,39.0,11.186859130859375
2024-03-12,,,39.0,11.176498413085938
2024-03-12,,,39.0,11.166732788085938
2024-03-12,,,39.0,11.15728759765625
2024-03-12,,,39.0,11.147964477539062
2024-03-12,,,39.0,11.138778686523438
2024-03-12,,,39.0,11.129745483398438
2024-03-13,,,39.0,11.120834350585938
2024-04-01,,,39.0,11.10687255859375
2024-04-01,,,39.0,11.093063354492188
2024-04-01,,,39.0,11.079376220703125
2024-04-01,,,39.0,11.065811157226562
2024-04-01,,,39.0,11.052337646484375
2024-04-01,,,39.0,11.038986206054688
2024-04-01,,,39.0,11.025726318359375
2024-04-01,,,39.0,11.012588500976562
2024-04-01,,,38.0,10.999542236328125
2024-04-01,,,38.0,10.986618041992188
2024-04-01,,,38.0,10.973785400390625
2024-04-01,,,38.0,10.961074829101562
2024-04-01,,,38.0,10.948455810546875
2024-04-01,,,38.0,10.935958862304688
2024-04-01,,,38.0,10.923553466796875
2024-04-01,,,38.0,10.911239624023438
2024-04-01,,,38.0,10.8990478515625
2024-04-01,,,38.0,10.886947631835938
2024-04-01,,,38.0,10.874969482421875
2024-04-01,,,38.0,10.863082885742188
2024-04-01,,,38.0,10.851287841796875
2024-04-01,,,38.0,10.839614868164062
2024-04-01,,,38.0,10.828033447265625
2024-04-01,,,38.0,10.816543579101562
2024-04-01,,,38.0,10.805145263671875
2024-04-01,,,38.0,10.793869018554688
2024-04-01,,,38.0,10.782684326171875
2024-04-01,,,38.0,10.771591186523438
2024-04-01,,,38.0,10.760589599609375
2024-04-01,,,38.0,10.749710083007812
2024-04-01,,,38.0,10.738922119140625
2024-04-01,,,38.0,10.728225708007812
2024-04-01,,,38.0,10.717620849609375
2024-04-02,,,37.0,10.707107543945312
2024-04-12,,,37.0,10.712631225585938
2024-04-12,,,38.0,10.718048095703125
2024-04-13,,,38.0,10.723388671875
2024-04-13,,,38.0,10.728652954101562
2024-05-02,,,38.0,10.728424072265625
2024-05-03,,,38.0,10.727462768554688
2024-05-03,,,38.0,10.718521118164062
2024-05-03,,,37.0,10.709259033203125
2024-05-03,,,37.0,10.700042724609375
2024-05-03,,,37.0,10.690963745117188
2024-05-03,,,37.0,10.682037353515625
2024-05-03,,,37.0,10.6732177734375
2024-05-03,,,37.0,10.66455078125
2024-05-03,,,37.0,10.655990600585938
2024-05-03,,,37.0,10.6475830078125
2024-05-03,,,37.0,10.639297485351562
2024-05-03,,,37.0,10.631149291992188
2024-05-03,,,37.0,10.623123168945312
2024-05-03,,,37.0,10.615203857421875
2024-05-03,,,37.0,10.607406616210938
2024-05-03,,,37.0,10.599716186523438
2024-05-03,,,37.0,10.592147827148438
2024-05-03,,,37.0,10.584686279296875
2024-05-03,,,37.0,10.57733154296875
2024-05-03,,,37.0,10.570083618164062
2024-05-03,,,37.0,10.562942504882812
2024-05-03,,,37.0,10.555908203125
2024-05-03,,,37.0,10.5489501953125
2024-05-03,,,37.0,10.5421142578125
2024-05-03,,,37.0,10.535369873046875
2024-05-03,,,37.0,10.52874755859375
2024-05-03,,,37.0,10.522171020507812
2024-05-03,,,37.0,10.51568603515625
2024-05-03,,,37.0,10.509307861328125
2024-05-04,,,37.0,10.503005981445312
2024-05-04,,,37.0,10.496856689453125
2024-05-04,,,37.0,10.490798950195312
2024-05-04,,,37.0,10.481491088867188
2024-05-06,,,37.0,10.477615356445312
2024-05-07,,,37.0,10.469314575195312
2024-05-07,,,37.0,10.46112060546875
2024-05-07,,,37.0,10.453033447265625
2024-05-07,,,37.0,10.445083618164062
2024-05-07,,,37.0,10.437240600585938
2024-05-07,,,37.0,10.42999267578125
2024-05-07,,,36.0,10.422760009765625
2024-05-14,,,36.0,10.4146728515625
2025-04-01,WALKING,GENERIC,36.0,10.228118896484375
2025-04-02,WALKING,GENERIC,30.0,8.654144287109375
2025-04-07,WALKING,GENERIC,30.0,8.479782104492188
2025-04-09,WALKING,GENERIC,29.0,8.346725463867188
2025-04-10,WALKING,GENERIC,30.0,8.524810791015625
2025-08-21,WALKING,GENERIC,30.0,8.50506591796875
2025-10-02,WALKING,GENERIC,28.0,8.0875244140625
